,country,countys,sum
0,英屬維京群島,嘉義市,3
1,新加坡,嘉義市,2
2,英屬維京群島,嘉義縣,2
3,巴西,新竹市,3
4,瑞士,新竹市,2
5,丹麥,新竹市,2
6,荷蘭,新竹市,14
7,韓國,新竹市,4
8,其他地區,新竹市,1
9,英屬開曼群島,新竹市,25
10,馬來西亞,新竹市,11
11,土耳其,新竹市,1
12,百慕達,新竹市,2
13,泰國,新竹市,4
14,塞席爾,新竹市,5
15,卡達,新竹市,1
16,越南,新竹市,1
17,哥倫比亞,新竹市,2
18,菲律賓,新竹市,1
19,義大利,新竹市,2
20,澳門,新竹市,1
21,香港,新竹市,34
22,孟加拉,新竹市,1
23,模里西斯,新竹市,2
24,英國,新竹市,3
25,加拿大,新竹市,1
26,日本,新竹市,31
27,英屬維京群島,新竹市,42
28,美國,新竹市,92
29,俄羅斯,新竹市,1
30,捷克,新竹市,4
31,新加坡,新竹市,20
32,薩摩亞,新竹市,6
33,印度,新竹市,5
34,德國,新竹市,8
35,巴西,新竹縣,3
36,義大利,新竹縣,1
37,貝里斯,新竹縣,1
38,香港,新竹縣,10
39,荷蘭,新竹縣,2
40,印尼,新竹縣,1
41,模里西斯,新竹縣,3
42,韓國,新竹縣,7
43,日本,新竹縣,11
44,馬來西亞,新竹縣,1
45,英屬開曼群島,新竹縣,8
46,英屬維京群島,新竹縣,19
47,美國,新竹縣,25
48,泰國,新竹縣,2
49,汶萊,新竹縣,1
50,新加坡,新竹縣,5
51,法國,新竹縣,2
52,薩摩亞,新竹縣,13
53,印度,新竹縣,1
54,越南,新竹縣,3
55,德國,新竹縣,3
56,Unnamed: 3,彰化縣,1
57,印尼,彰化縣,4
58,波蘭,彰化縣,1
59,荷蘭,彰化縣,2
60,其他地區,彰化縣,1
61,英屬開曼群島,彰化縣,6
62,泰國,彰化縣,7
63,西班牙,彰化縣,3
64,汶萊,彰化縣,1
65,挪威,彰化縣,1
66,越南,彰化縣,4
67,義大利,彰化縣,1
68,貝里斯,彰化縣,2
69,智利,彰化縣,1
70,模里西斯,彰化縣,2
71,加拿大,彰化縣,2
72,英國,彰化縣,2
73,日本,彰化縣,3
74,英屬維京群島,彰化縣,12
75,美國,彰化縣,8
76,捷克,彰化縣,1
77,新加坡,彰化縣,1
78,奧地利,彰化縣,1
79,薩摩亞,彰化縣,4
80,印度,彰化縣,1
81,德國,彰化縣,4
82,巴西,高雄市,1
83,荷蘭,高雄市,2
84,印尼,高雄市,4
85,丹麥,高雄市,1
86,韓國,高雄市,4
87,馬來西亞,高雄市,7
88,英屬開曼群島,高雄市,10
89,百慕達,高雄市,2
90,泰國,高雄市,5
91,汶萊,高雄市,1
92,法國,高雄市,1
93,越南,高雄市,13
94,貝里斯,高雄市,1
95,菲律賓,高雄市,3
96,香港,高雄市,16
97,模里西斯,高雄市,3
98,英國,高雄市,1
99,日本,高雄市,21
100,巴拿馬,高雄市,6
101,英屬維京群島,高雄市,30
102,美國,高雄市,33
103,null,高雄市,2
104,澳大利亞,高雄市,2
105,新加坡,高雄市,9
106,薩摩亞,高雄市,13
107,印度,高雄市,1
108,玻利維亞,基隆市,1
109,香港,基隆市,7
110,韓國,基隆市,1
111,英國,基隆市,1
112,日本,基隆市,1
113,英屬開曼群島,基隆市,4
114,英屬維京群島,基隆市,5
115,美國,基隆市,16
116,比利時,基隆市,1
117,百慕達,基隆市,2
118,俄羅斯,基隆市,1
119,賴比瑞亞,基隆市,3
120,新加坡,基隆市,3
121,薩摩亞,基隆市,4
122,越南,基隆市,1
123,菲律賓,苗栗縣,1
124,香港,苗栗縣,6
125,尼加拉瓜,苗栗縣,4
126,韓國,苗栗縣,2
127,日本,苗栗縣,4
128,英屬開曼群島,苗栗縣,1
129,英屬維京群島,苗栗縣,5
130,柬埔寨,苗栗縣,1
131,美國,苗栗縣,7
132,泰國,苗栗縣,1
133,越南,苗栗縣,2
134,薩摩亞,苗栗縣,4
135,香港,南投縣,2
136,模里西斯,南投縣,1
137,韓國,南投縣,1
138,英屬開曼群島,南投縣,2
139,馬來西亞,南投縣,1
140,英屬維京群島,南投縣,4
141,美國,南投縣,2
142,百慕達,南投縣,1
143,巴拉圭,南投縣,1
144,俄羅斯,南投縣,1
145,澳大利亞,南投縣,1
146,泰國,南投縣,1
147,薩摩亞,南投縣,1
148,越南,南投縣,1
149,德國,南投縣,1
150,巴西,新北市,5
151,瑞士,新北市,1
152,荷蘭,新北市,27
153,印尼,新北市,6
154,丹麥,新北市,1
155,波蘭,新北市,1
156,韓國,新北市,18
157,英屬開曼群島,新北市,35
158,馬來西亞,新北市,9
159,柬埔寨,新北市,1
160,百慕達,新北市,3
161,阿拉伯聯合大公國,新北市,1
162,泰國,新北市,9
163,寮國,新北市,1
164,塞席爾,新北市,2
165,汶萊,新北市,4
166,西班牙,新北市,2
167,法國,新北市,5
168,越南,新北市,10
169,阿根廷,新北市,1
170,義大利,新北市,3
171,菲律賓,新北市,2
172,貝里斯,新北市,2
173,香港,新北市,76
174,模里西斯,新北市,12
175,英國,新北市,24
176,加拿大,新北市,4
177,日本,新北市,54
178,巴拿馬,新北市,1
179,英屬維京群島,新北市,97
180,美國,新北市,151
181,巴哈馬,新北市,1
182,墨西哥,新北市,2
183,俄羅斯,新北市,2
184,澳大利亞,新北市,6
185,捷克,新北市,2
186,新加坡,新北市,29
187,奧地利,新北市,1
188,印度,新北市,9
189,薩摩亞,新北市,58
190,匈牙利,新北市,1
191,德國,新北市,21
192,香港,屏東縣,3
193,美國,屏東縣,1
194,法國,屏東縣,2
195,越南,屏東縣,1
196,巴西,臺中市,2
197,緬甸,臺中市,2
198,波蘭,臺中市,1
199,丹麥,臺中市,1
200,荷蘭,臺中市,1
201,印尼,臺中市,1
202,韓國,臺中市,4
203,英屬開曼群島,臺中市,8
204,馬來西亞,臺中市,4
205,柬埔寨,臺中市,3
206,百慕達,臺中市,1
207,泰國,臺中市,4
208,法國,臺中市,2
209,越南,臺中市,10
210,香港,臺中市,13
211,模里西斯,臺中市,2
212,英國,臺中市,6
213,日本,臺中市,16
214,英屬維京群島,臺中市,23
215,美國,臺中市,30
216,以色列,臺中市,2
217,墨西哥,臺中市,3
218,澳大利亞,臺中市,2
219,新加坡,臺中市,12
220,印度,臺中市,1
221,薩摩亞,臺中市,11
222,德國,臺中市,7
223,巴西,臺北市,4
224,波蘭,臺北市,2
225,荷蘭,臺北市,21
226,丹麥,臺北市,1
227,瓜地馬拉,臺北市,1
228,關島,臺北市,1
229,其他地區,臺北市,1
230,韓國,臺北市,25
231,柬埔寨,臺北市,5
232,英屬安奎拉島,臺北市,1
233,薩爾瓦多,臺北市,1
234,阿拉伯聯合大公國,臺北市,1
235,泰國,臺北市,22
236,庫克群島,臺北市,1
237,越南,臺北市,38
238,亞洲其他地區,臺北市,1
239,義大利,臺北市,7
240,澳門,臺北市,2
241,沙烏地阿拉伯,臺北市,2
242,香港,臺北市,163
243,尼加拉瓜,臺北市,3
244,英國,臺北市,19
245,英屬維京群島,臺北市,185
246,美國,臺北市,211
247,以色列,臺北市,1
248,墨西哥,臺北市,6
249,巴哈馬,臺北市,1
250,null,臺北市,1
251,俄羅斯,臺北市,1
252,捷克,臺北市,5
253,印度,臺北市,6
254,薩摩亞,臺北市,39
255,匈牙利,臺北市,1
256,德國,臺北市,12
257,瑞士,臺北市,3
258,印尼,臺北市,10
259,馬來西亞,臺北市,12
260,英屬開曼群島,臺北市,91
261,馬紹爾群島,臺北市,2
262,盧森堡,臺北市,1
263,百慕達,臺北市,13
264,瑞典,臺北市,1
265,土耳其,臺北市,1
266,賴比瑞亞,臺北市,2
267,塞席爾,臺北市,2
268,汶萊,臺北市,3
269,法國,臺北市,5
270,菲律賓,臺北市,14
271,貝里斯,臺北市,3
272,智利,臺北市,1
273,模里西斯,臺北市,9
274,加拿大,臺北市,2
275,日本,臺北市,56
276,巴拿馬,臺北市,9
277,南非,臺北市,1
278,澳大利亞,臺北市,12
279,紐西蘭,臺北市,2
280,新加坡,臺北市,53
281,奧地利,臺北市,1
282,緬甸,桃園市,1
283,印尼,桃園市,1
284,荷蘭,桃園市,4
285,韓國,桃園市,1
286,英屬開曼群島,桃園市,9
287,馬來西亞,桃園市,6
288,盧森堡,桃園市,1
289,泰國,桃園市,8
290,塞席爾,桃園市,3
291,汶萊,桃園市,2
292,法國,桃園市,1
293,越南,桃園市,4
294,菲律賓,桃園市,3
295,義大利,桃園市,1
296,貝里斯,桃園市,2
297,澳門,桃園市,1
298,香港,桃園市,17
299,模里西斯,桃園市,3
300,加拿大,桃園市,1
301,英國,桃園市,2
302,日本,桃園市,7
303,英屬維京群島,桃園市,6
304,美國,桃園市,23
305,捷克,桃園市,1
306,新加坡,桃園市,7
307,薩摩亞,桃園市,5
308,德國,桃園市,4
309,美國,宜蘭縣,1
310,香港,宜蘭縣,1
311,加拿大,宜蘭縣,1
312,日本,宜蘭縣,1
313,德國,宜蘭縣,2
314,英屬維京群島,雲林縣,5
315,義大利,雲林縣,1
316,美國,雲林縣,2
317,香港,雲林縣,2
318,日本,雲林縣,1
319,越南,雲林縣,5
320,英屬開曼群島,雲林縣,2
