鄉鎮市區,外商個數,所在縣市,巴西,瑞士,荷蘭,印尼,丹麥,波蘭,韓國,英屬開曼群島,馬來西亞,柬埔寨,百慕達,阿拉伯聯合大公國,泰國,寮國,塞席爾,汶萊,西班牙,法國,越南,阿根廷,義大利,菲律賓,貝里斯,香港,模里西斯,英國,加拿大,日本,巴拿馬,英屬維京群島,美國,巴哈馬,墨西哥,俄羅斯,澳大利亞,捷克,新加坡,奧地利,印度,薩摩亞,匈牙利,德國
土城鄉,1,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新店市,40,新北市,0,0,2,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,6,8,0,0,0,0,0,1,0,0,7,0,2
三重市,30,新北市,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,11,0,0,0,0,0,2,0,0,3,0,0
板橋區,14,新北市,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
五股鄉,9,新北市,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
汐止區,44,新北市,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,8,3,1,1,7,0,5,7,0,0,0,0,0,1,0,1,1,0,2
土城區,67,新北市,0,0,4,0,0,0,1,5,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,6,0,3,2,6,0,10,17,0,1,0,1,0,3,0,2,0,0,2
新店區,68,新北市,0,0,5,0,0,0,4,4,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6,2,3,0,5,0,8,16,0,0,0,1,1,2,0,1,2,0,2
三重區,16,新北市,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,3,0,1
中和區,123,新北市,5,0,5,4,1,0,5,8,1,0,0,0,1,0,0,1,1,3,1,0,2,0,1,13,0,7,0,7,0,10,20,0,0,0,1,0,5,1,0,16,0,4
五股工,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
北新路,19,新北市,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,4,3,0,0,1,0,0,1,0,0,0,0,2
永和市,3,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
中和市,58,新北市,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,5,0,6,13,0,0,0,0,0,5,0,1,8,0,3
土城市,14,新北市,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,3,0,0,0,1,0,0,0,0,0,0,0
新莊市,15,新北市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,0,1
重新路,6,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
深坑鄉,3,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
五股區,36,新北市,0,1,3,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,3,8,0,1,0,2,0,2,0,1,0,0,2
中正路,4,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
寶興路,11,新北市,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,3,0,0,0,0,0,0,0,0,1,0,0
五權三,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
樹林區,15,新北市,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,3,0,0,0,0,0,0,0,2,1,0,0
汐止市,24,新北市,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,7,1,0,1,0,0,0,0,0,5,0,0
頂坪路,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中山路,4,新北市,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
板橋市,7,新北市,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
泰山鄉,3,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
林口區,3,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
林口文,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
淡水鎮,8,新北市,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0
新台五,10,新北市,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
林口鄉,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
樹林鎮,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
光復路,1,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
汐止鎮,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
康寧街,1,新北市,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新店寶,1,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
深坑區,6,新北市,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
淡水區,3,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
板穚市,1,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
俊英街,6,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0
新莊區,9,新北市,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
泰山區,2,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
樹林市,1,新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
